Date,Stock,Open,High,Low,Close,Volume,Price
2020-01-01,AAPL,173.8,174.75,173.68,174.43,8204212,174.28666666666666
2020-01-02,AAPL,176.01,177.59,174.07,177.55,2766891,176.40333333333334
2020-01-03,AAPL,177.57,178.37,176.62,176.71,5721339,177.23333333333335
2020-01-06,AAPL,176.01,177.58,171.33,171.73,9242680,173.54666666666665
2020-01-07,AAPL,171.85,172.2,170.69,170.82,4416664,171.23666666666668
2020-01-08,AAPL,170.22,171.59,168.76,169.64,5056518,169.99666666666667
2020-01-09,AAPL,170.77,171.86,169.99,171.52,7249859,171.12333333333333
2020-01-10,AAPL,171.72,172.82,167.44,167.81,4584702,169.35666666666665
2020-01-13,AAPL,167.63,170.82,165.78,170.03,4047262,168.87666666666667
2020-01-14,AAPL,169.02,169.56,164.2,165.86,6517209,166.54
2020-01-15,AAPL,165.95,167.34,165.36,166.79,6173036,166.49666666666667
2020-01-16,AAPL,166.11,167.35,164.48,167.34,2737095,166.39
2020-01-17,AAPL,168.23,169.89,167.51,169.74,4853339,169.04666666666665
2020-01-20,AAPL,170.07,172.68,169.94,172.02,4747389,171.54666666666665
2020-01-21,AAPL,173.2,174.48,169.63,171.41,1491234,171.84
2020-01-22,AAPL,171.77,173.29,169.36,170.48,7167294,171.04333333333332
2020-01-23,AAPL,169.86,171.41,169.46,170.53,6292895,170.46666666666667
2020-01-24,AAPL,169.11,172.21,167.29,171.19,1973548,170.23
2020-01-27,AAPL,169.78,172.04,168.58,170.16,5574293,170.26
2020-01-28,AAPL,170.45,172.83,170.24,172.24,9306461,171.77
2020-01-29,AAPL,171.9,173.64,171.19,173.4,3484413,172.74333333333334
2020-01-30,AAPL,173.14,174.0,170.77,172.41,6822184,172.39333333333332
2020-01-31,AAPL,171.54,172.61,169.56,170.52,5422880,170.89666666666668
2020-02-03,AAPL,170.18,172.07,167.93,168.58,7409907,169.52666666666667
2020-02-04,AAPL,168.84,170.76,168.18,168.69,5959617,169.21
2020-02-05,AAPL,167.93,170.84,167.39,168.84,1225281,169.02333333333334
2020-02-06,AAPL,168.18,168.75,166.37,168.19,6500306,167.77
2020-02-07,AAPL,168.53,173.37,167.42,172.48,2119043,171.09
2020-02-10,AAPL,172.26,172.75,169.28,170.89,7659908,170.97333333333333
2020-02-11,AAPL,172.29,176.15,172.11,175.08,3008187,174.4466666666667
2020-02-12,AAPL,177.01,178.89,176.36,177.17,7404003,177.47333333333333
2020-02-13,AAPL,177.18,177.63,175.16,176.45,1071295,176.41333333333333
2020-02-14,AAPL,177.7,179.18,176.23,177.83,9763313,177.74666666666667
